lauric	lauric	adjective
laurer	laurer	noun
laurentian	laurentian	adjective
laurel	laurel	noun
laurels	laurel	noun:plural
laureate	laureate	verb:simple_present+intransitive
laureates	laureate	verb:simple_present+intransitive
laureated	laureate	verb:simple_past+intransitive
laureated	laureate	verb:past_participle+intransitive
laureating	laureate	verb:present_participle+intransitive
launch	launch	verb:simple_present+transitive
launchs	launch	verb:simple_present+transitive
launched	launch	verb:simple_past+transitive
launched	launch	verb:past_participle+transitive
launching	launch	verb:present_participle+transitive
launch	launch	verb:simple_present+intransitive
launchs	launch	verb:simple_present+intransitive
launched	launch	verb:simple_past+intransitive
launched	launch	verb:past_participle+intransitive
launching	launch	verb:present_participle+intransitive
launch	launch	noun
laumonite	laumonite	noun
laughterless	laughterless	adjective
laughter	laughter	noun
laughing	laughing	adjective
laughing	laughing	verbal noun
laughable	laughable	adjective
laudatory	laudatory	adjective
laudanum	laudanum	noun
loggets	loggets	noun
liturgical	liturgical	adjective
liturgy	liturgy	noun
lutheran	lutheran	proper noun
lunch	lunch	noun
lunches	lunch	noun:plural
lunch	lunch	verb:simple_present+intransitive
lunchs	lunch	verb:simple_present+intransitive
lunched	lunch	verb:simple_past+intransitive
lunched	lunch	verb:past_participle+intransitive
lunching	lunch	verb:present_participle+intransitive
luff	luff	noun
luff	luff	verb:simple_present+intransitive
luffs	luff	verb:simple_present+intransitive
luffed	luff	verb:simple_past+intransitive
luffed	luff	verb:past_participle+intransitive
luffing	luff	verb:present_participle+intransitive
luff	luff	verb:simple_present+transitive
luffs	luff	verb:simple_present+transitive
luffed	luff	verb:simple_past+transitive
luffed	luff	verb:past_participle+transitive
luffing	luff	verb:present_participle+transitive
logarithm	logarithm	noun
lupine	lupine	adjective
longbow	longbow	noun
libertarian	libertarian	noun
libertarian	libertarian	adjective
lemonade	lemonade	noun
legerdemain	legerdemain	noun
latvian	latvian	noun
latvian	latvian	adjective
lagos	lagos	proper noun
Lhasa	Lhasa	proper noun
Liguria	Liguria	proper noun
Limassol	Limassol	proper noun
Lisbon	Lisbon	proper noun
Liverpool	Liverpool	proper noun
Louisiana	Louisiana	proper noun
lusaka	lusaka	proper noun
loud	loud	adjective
loud	loud	adverbe
lemuria	lemuria	proper noun
lemur	lemur	noun
lemurs	lemur	noun:plural
laddie	laddie	noun
lad	lad	noun
Latium	Latium	proper noun
libyan	libyan	noun
libyan	libyan	adjective
lesbian	lesbian	proper noun
lesbian	lesbian	noun
lesbian	lesbian	adjective
liberian	liberian	noun
liberian	liberian	adjective
lebanese	lebanese	noun
lebanese	lebanese	adjective
Latina	Latina	proper noun
lecce	lecce	proper noun
lecco	lecco	proper noun
Livorno	Livorno	proper noun
lodi	lodi	proper noun
lucca	lucca	proper noun
lao	lao	noun
lao	lao	adjective
length	length	noun
laconia	laconia	noun
litre	litre	noun
lumen	lumen	noun
lumens	lumen	noun:plural
laotian	laotian	noun
laotian	laotian	adjective
lux	lux	noun
Larissa	Larissa	proper noun
Lesbos	Lesbos	proper noun
loquacious	loquacious	adjective
limb	limb	noun
limbs	limb	noun:plural
limb	limb	noun
limbs	limb	noun:plural
luxembourger	luxembourger	noun
luxembourgish	luxembourgish	adjective
liechtensteiner	liechtensteiner	noun
lathe	lathe	noun
lathe	lathe	verb:simple_present+
lathes	lathe	verb:simple_present+
lathed	lathe	verb:simple_past+
lathed	lathe	verb:past_participle+
lathing	lathe	verb:present_participle+
limburg	limburg	proper noun
lovech	lovech	proper noun
Lojban	Lojban	proper noun
loglan	loglan	proper noun
ladybug	ladybug	noun
lock	lock	noun
locks	lock	noun:plural
lock	lock	verb:simple_present+intransitive
locks	lock	verb:simple_present+intransitive
locked	lock	verb:simple_past+intransitive
locked	lock	verb:past_participle+intransitive
locking	lock	verb:present_participle+intransitive
lock	lock	verb:simple_present+transitive
locks	lock	verb:simple_present+transitive
locked	lock	verb:simple_past+transitive
locked	lock	verb:past_participle+transitive
locking	lock	verb:present_participle+transitive
locking	lock	verb:present_participle
lawyer	lawyer	noun
lofty	lofty	adjective
loft	loft	noun
loft	loft	verb:simple_present+
lofts	loft	verb:simple_present+
lofted	loft	verb:simple_past+
lofted	loft	verb:past_participle+
lofting	loft	verb:present_participle+
land	land	noun
lands	land	noun:plural
land	land	verb:simple_present+
lands	land	verb:simple_present+
landed	land	verb:simple_past+
landed	land	verb:past_participle+
landing	land	verb:present_participle+
landing	land	verb:present_participle
land	land	verb:simple_present+intransitive
lands	land	verb:simple_present+intransitive
landed	land	verb:simple_past+intransitive
landed	land	verb:past_participle+intransitive
landing	land	verb:present_participle+intransitive
land	land	verb:simple_present+transitive
lands	land	verb:simple_present+transitive
landed	land	verb:simple_past+transitive
landed	land	verb:past_participle+transitive
landing	land	verb:present_participle+transitive
land	land	adjective
lip	lip	noun
lips	lip	noun:plural
lip	lip	proper noun
lips	lips	noun
leopard	leopard	noun
leopards	leopard	noun:plural
lion	lion	noun
lions	lion	noun:plural
Luddite	Luddite	noun
lioness	lioness	noun
liar	liar	noun
liars	liar	noun:plural
lyre	lyre	noun
lewa	lewa	noun
lizard	lizard	noun
lizards	lizard	noun:plural
Lesvos	Lesvos	proper noun
Lamia	Lamia	proper noun
linen	linen	noun
lite	lite	adjective
Longyearbyen	Longyearbyen	proper noun
lore	lore	noun
lexeme	lexeme	noun
lexemes	lexeme	noun:plural
lexical	lexical	adjective
log	log	noun
logs	log	noun:plural
log	log	verb:simple_present+
logs	log	verb:simple_present+
???	log	verb:simple_past+
???	log	verb:past_participle+
???	log	verb:present_participle+
lug	lug	noun
lugs	lug	noun:plural
lug	lug	verb:simple_present+transitive
lugs	lug	verb:simple_present+transitive
???	lug	verb:simple_past+transitive
???	lug	verb:past_participle+transitive
???	lug	verb:present_participle+transitive
lugging	lug	verb:present_participle
luggage	luggage	noun
lounge	lounge	noun
lounges	lounge	noun:plural
lounge	lounge	verb:simple_present+
lounges	lounge	verb:simple_present+
lounged	lounge	verb:simple_past+
lounged	lounge	verb:past_participle+
lounging	lounge	verb:present_participle+
LARP	LARP	noun
little	little	adjective
little	little	adverbe
little	little	noun
less	less	adverbe
least	least	adjective
least	least	adverbe
least	least	noun
leaf	leaf	noun
leaves	leaf	noun:plural
leaf	leaf	verb:simple_present+
leafs	leaf	verb:simple_present+
leafed	leaf	verb:simple_past+
leafed	leaf	verb:past_participle+
leafing	leaf	verb:present_participle+
lumber	lumber	noun
lumber	lumber	verb:simple_present+
lumbers	lumber	verb:simple_present+
lumbered	lumber	verb:simple_past+
lumbered	lumber	verb:past_participle+
lumbering	lumber	verb:present_participle+
lumbar	lumbar	adjective
luo	luo	noun
label	label	noun
labels	label	noun:plural
label	label	verb:simple_present+transitive
labels	label	verb:simple_present+transitive
???	label	verb:simple_past+transitive
???	label	verb:past_participle+transitive
???	label	verb:present_participle+transitive
local	local	adjective
local	local	noun
loo	loo	noun
loo	loo	noun
lasagna	lasagna	noun
lust	lust	verb:simple_present+
lusts	lust	verb:simple_present+
lusted	lust	verb:simple_past+
lusted	lust	verb:past_participle+
lusting	lust	verb:present_participle+
lusting	lust	verb:present_participle
lupa	lupa	noun
lacerta	lacerta	noun
lactatio	lactatio	noun
lanterna	lanterna	noun
latinus	latinus	adjective
latus	latus	adjective
latus	latus	noun
legislatio	legislatio	noun
lento	lento	adjective
leo	leo	preposition
lex	lex	noun
liberatio	liberatio	noun
liberator	liberator	noun
librarium	librarium	noun
libido	libido	noun
lady	lady	noun
ladies	lady	noun:plural
lah	lah	noun
logician	logician	noun
logicians	logician	noun:plural
Leningrad	Leningrad	proper noun
lid	lid	noun
laiqua	laiqua	adjective
lammergeier	lammergeier	noun
lice	lice	noun
lattice	lattice	noun
leveret	leveret	noun
lionet	lionet	noun
lamb	lamb	noun
lambs	lamb	noun:plural
lamb	lamb	noun
liger	liger	noun
library	library	noun
lunacy	lunacy	noun
lunacies	lunacy	noun:plural
leviathan	leviathan	noun
leviathan	leviathan	adjective
leer	leer	verb:simple_present+intransitive
leers	leer	verb:simple_present+intransitive
leered	leer	verb:simple_past+intransitive
leered	leer	verb:past_participle+intransitive
leering	leer	verb:present_participle+intransitive
leer	leer	noun
location	location	noun
locational	locational	adjective
latte	latte	noun
lattes	latte	noun:plural
locale	locale	noun
lung	lung	noun
labium	labium	noun
lire	lire	noun
