thrusting	thrust	verb:present_participle+
thrust	thrust	verb:simple_present+
thrusts	thrust	verb:simple_present+
thrust	thrust	verb:simple_past+
thrust	thrust	verb:past_participle+
thrusting	thrust	verb:present_participle+
tread	tread	noun
tread	tread	verb:simple_present+
treads	tread	verb:simple_present+
treaded	tread	verb:simple_past+
treaded	tread	verb:past_participle+
treading	tread	verb:present_participle+
trod	trod	verb:simple_present+
trods	trod	verb:simple_present+
???	trod	verb:simple_past+
???	trod	verb:past_participle+
???	trod	verb:present_participle+
trod	trod	verb:simple_present+
trods	trod	verb:simple_present+
???	trod	verb:simple_past+
???	trod	verb:past_participle+
???	trod	verb:present_participle+
trodden	trodden	verb:simple_present+
troddens	trodden	verb:simple_present+
???	trodden	verb:simple_past+
???	trodden	verb:past_participle+
???	trodden	verb:present_participle+
threaten	threaten	verb:simple_present+
threatens	threaten	verb:simple_present+
threatened	threaten	verb:simple_past+
threatened	threaten	verb:past_participle+
???	threaten	verb:present_participle+
twang	twang	noun
twang	twang	verb:simple_present+
twangs	twang	verb:simple_present+
twanged	twang	verb:simple_past+
twanged	twang	verb:past_participle+
twanging	twang	verb:present_participle+
testicle	testicle	noun
tit	tit	noun
tits	tit	noun:plural
tit	tit	noun
tits	tit	noun:plural
tit	tit	noun
tits	tit	noun:plural
tit	tit	noun
tit	tit	verb:simple_present+
tits	tit	verb:simple_present+
???	tit	verb:simple_past+
???	tit	verb:past_participle+
???	tit	verb:present_participle+
true	true	adjective
true	true	noun
true	true	verb:simple_present+
trues	true	verb:simple_present+
trued	true	verb:simple_past+
trued	true	verb:past_participle+
truing	true	verb:present_participle+
tall	tall	adjective
tail	tail	noun
tail	tail	verb:simple_present+transitive
tails	tail	verb:simple_present+transitive
tailed	tail	verb:simple_past+transitive
tailed	tail	verb:past_participle+transitive
tailing	tail	verb:present_participle+transitive
tissue	tissue	noun
totalitarian	totalitarian	adjective
t	t	letter
t	t	noun
torque	torque	noun
torque	torque	noun
throttle	throttle	noun
throttle	throttle	verb:simple_present+transitive
throttles	throttle	verb:simple_present+transitive
throttled	throttle	verb:simple_past+transitive
